#EquipmentID,EquipmentType,Rotation,PosX,PosY,PosZ,BasePlateWidth,BasePlateLength,BasePlateHeight,ImpellerWidth,ImpellerLength,ImpellerHeight,DriverWidth,DriverLength,MotorWidth,MotorLength,MotorHeight,ImpellerOffset,NozzleID,NozzleName,NozzleType,Diameter,Length,X,Y,Plane,,,,,,,,
F-P62B,HOR.Pump_End-Top,90,-123114,48724,0,440,1340,300,250,594,380,108,312,350,644,380,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P62A,HOR.Pump_End-Top,90,-123114,46724,0,440,1340,300,250,594,380,108,312,350,644,380,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P61B,HOR.Pump_End-Top,90,-123626,44800,200,800,1700,300,250,594,380,108,312,350,644,380,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P61A,HOR.Pump_End-Top,90,-123626,42800,200,800,1700,300,250,594,380,108,312,350,644,380,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P63,HOR.Pump_End-Top,90,-123626,50600,200,800,1700,300,250,594,380,108,312,350,644,380,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P64A,HOR.Pump_End-Top,0,-113775,42249,200,500,1000,300,250,594,380,108,312,350,644,380,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P64B,HOR.Pump_End-Top,0,-111975,42249,200,500,1000,300,250,594,380,108,312,350,644,380,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P001A(F-P66A),HOR.Pump_End-Top,0,-97873,12650,90,620,1600,300,300,557,545,123,356,400,613,545,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P001B(F-P66B),HOR.Pump_End-Top,0,-95873,12650,90,620,1600,300,300,557,545,123,356,400,613,545,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P161A(F-P65A),HOR.Pump_End-Top,0,-93873,12650,110,520,1405,300,300,586,549,128,378,400,507,549,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
F-P161B(F-P65B),HOR.Pump_End-Top,0,-91873,12650,110,520,1405,300,300,586,549,128,378,400,507,549,100,SUC,SUC,Suction,50,260,0,-55,ImpellerEnd,DIS,DIS,Discharge,125,200,0,-135,ImpellerTop
