HorizontalVessel0, HorizontalVessel, F-V61
HorizontalVessel1, HorizontalVessel, F-V62
SkirtTypeVessel0,SkirtTypeVessel,F-V160(F-V65)
SkirtTypeVessel1,SkirtTypeVessel,F-V160
AirFinCooler0,AirFinCooler,F-A001(F-A65AB)
HorizontalHeatExchanger0,HorizontalHeatExchanger,F-E60A/B
HorizontalHeatExchanger1,HorizontalHeatExchanger,F-E160A(F-E65A)
HorizontalHeatExchanger2,HorizontalHeatExchanger,F-E160B(F-E65B)
HorizontalHeatExchanger3,HorizontalHeatExchanger,F-E002A(F-E66)
HorizontalHeatExchanger4,HorizontalHeatExchanger,F-E002B(F-E66)
HorizontalPump0,EndTopTypePump,F-P62B
HorizontalPump1,EndTopTypePump,F-P62A
HorizontalPump2,EndTopTypePump,F-P61B
HorizontalPump3,EndTopTypePump,F-P61A
HorizontalPump4,EndTopTypePump,F-P63
HorizontalPump5,EndTopTypePump,F-P64A
HorizontalPump6,EndTopTypePump,F-P64B
HorizontalPump7,EndTopTypePump,F-P001A(F-P66A)
HorizontalPump8,EndTopTypePump,F-P001B(F-P66B)
HorizontalPump9,EndTopTypePump,F-P161A(F-P65A)
HorizontalPump10,EndTopTypePump,F-P161B(F-P65B)
